skill,primary_category,categories,description,source_site,source_repo,category_count,duplicated_across_categories
agentic-eval,AI/ML,['AI/ML'],"Patterns and techniques for evaluating and improving AI agent outputs. Use this skill when: - Implementing self-critique and reflection loops - Building evaluator-optimizer pipelines for quality-critical generation - Creating test-driven code refinement workflows - Designing rubric-based or LLM-as-judge evaluation systems - Adding iterative improvement to agent outputs (code, reports, analysis) - Measuring and improving agent response quality",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
clinicaltrials-database,AI/ML,['AI/ML'],"Query ClinicalTrials.gov via API v2. Search trials by condition, drug, location, status, or phase. Retrieve trial details by NCT ID, export data, for clinical research and patient matching.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
git-advanced-workflows,AI/ML,"['AI/ML', 'Tooling']","Master advanced Git workflows including rebasing, cherry-picking, bisect, worktrees, and reflog to maintain clean history and recover from any situation. Use when managing complex Git histories, collaborating on feature branches, or troubleshooting repository issues.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
hula-skill,AI/ML,['AI/ML'],"HuLa project skill for frontend (Vue 3 + Vite + UnoCSS + Naive UI/Vant), backend (Tauri v2 + Rust + SeaORM/SQLite), full-stack flows, and build/release work. Use when the user mentions hula or HuLa or requests changes in this repository; after triggering, ask which scope (frontend/backend/fullstack/build-release) to enable.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
networkx,AI/ML,['AI/ML'],"Comprehensive toolkit for creating, analyzing, and visualizing complex networks and graphs in Python. Use when working with network/graph data structures, analyzing relationships between entities, computing graph algorithms (shortest paths, centrality, clustering), detecting communities, generating synthetic networks, or visualizing network topologies.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pr-build-status,AI/ML,['AI/ML'],"Retrieve Azure DevOps build information for GitHub Pull Requests, including build IDs, stage status, and failed jobs.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
railway-database,AI/ML,['AI/ML'],"Add official Railway database services (Postgres, Redis, MySQL, MongoDB). Use when user wants to add a database, says ""add postgres"", ""add redis"", ""add database"", ""connect to database"", or ""wire up the database"". For other templates (Ghost, Strapi, n8n), use the railway-templates skill.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
railway-templates,AI/ML,['AI/ML'],"Search and deploy services from Railway's template marketplace. Use when user wants to add a service from a template, find templates for a specific use case, or deploy tools like Ghost, Strapi, n8n, Minio, Uptime Kuma, etc. For databases (Postgres, Redis, MySQL, MongoDB), prefer the railway-database skill.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
redis-inspect,AI/ML,['AI/ML'],"Inspect Redis cache keys, values, and TTLs for debugging. Supports both main cache and system cache. Use for debugging cache issues, checking cached values, and monitoring cache state. Read-only by default.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
senior-architect,AI/ML,"['AI/ML', 'Performance']","Comprehensive software architecture skill for designing scalable, maintainable systems using ReactJS, NextJS, NodeJS, Express, React Native, Swift, Kotlin, Flutter, Postgres, GraphQL, Go, Python. Includes architecture diagram generation, system design patterns, tech stack decision frameworks, and dependency analysis. Use when designing system architecture, making technical decisions, creating architecture diagrams, evaluating trade-offs, or defining integration patterns.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
add-admin-api-endpoint,Backend Development,['Backend Development'],Add a new endpoint or endpoints to Ghost's Admin API at `ghost/api/admin/**`.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
bun-file-io,Backend Development,['Backend Development'],"Use this when you are working on file operations like reading, writing, scanning, or deleting files. It summarizes the preferred file APIs and patterns used in this repo. It also notes when to use filesystem helpers for directories.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
generate-migration,Backend Development,['Backend Development'],"Generate Django database migrations for Sentry. Use when creating migrations, adding/removing columns or tables, adding indexes, or resolving migration conflicts.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
quality-manager-qmr,Backend Development,['Backend Development'],"Senior Quality Manager Responsible Person (QMR) for HealthTech and MedTech companies. Provides overall quality system responsibility, regulatory compliance oversight, management accountability, and strategic quality leadership. Use for quality system governance, regulatory compliance oversight, management responsibility, and quality strategic planning.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
scvi-tools,Backend Development,['Backend Development'],"This skill should be used when working with single-cell omics data analysis using scvi-tools, including scRNA-seq, scATAC-seq, CITE-seq, spatial transcriptomics, and other single-cell modalities. Use this skill for probabilistic modeling, batch correction, dimensionality reduction, differential expression, cell type annotation, multimodal integration, and spatial analysis tasks.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
sentencepiece,Backend Development,['Backend Development'],"Language-independent tokenizer treating text as raw Unicode. Supports BPE and Unigram algorithms. Fast (50k sentences/sec), lightweight (6MB memory), deterministic vocabulary. Used by T5, ALBERT, XLNet, mBART. Train on raw text without pre-tokenization. Use when you need multilingual support, CJK languages, or reproducible tokenization.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
shap,Backend Development,['Backend Development'],"Model interpretability and explainability using SHAP (SHapley Additive exPlanations). Use this skill when explaining machine learning model predictions, computing feature importance, generating SHAP plots (waterfall, beeswarm, bar, scatter, force, heatmap), debugging models, analyzing model bias or fairness, comparing models, or implementing explainable AI. Works with tree-based models (XGBoost, LightGBM, Random Forest), deep learning (TensorFlow, PyTorch), linear models, and any black-box model.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
sympy,Backend Development,['Backend Development'],"Use this skill when working with symbolic mathematics in Python. This skill should be used for symbolic computation tasks including solving equations algebraically, performing calculus operations (derivatives, integrals, limits), manipulating algebraic expressions, working with matrices symbolically, physics calculations, number theory problems, geometry computations, and generating executable code from mathematical expressions.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
temporal-python-testing,Backend Development,"['Backend Development', 'Tooling']","Test Temporal workflows with pytest, time-skipping, and mocking strategies. Covers unit testing, integration testing, replay testing, and local development setup. Use when implementing Temporal workflow tests or debugging test failures.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
zarr-python,Backend Development,"['Backend Development', 'Performance']","Chunked N-D arrays for cloud storage. Compressed arrays, parallel I/O, S3/GCS integration, NumPy/Dask/Xarray compatible, for large-scale scientific computing pipelines.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
