ref_id,category,skill,description,source_site,source_repo
76,Frontend Development,add-uint-support,"Add unsigned integer (uint) type support to PyTorch operators by updating AT_DISPATCH macros. Use when adding support for uint16, uint32, uint64 types to operators, kernels, or when user mentions enabling unsigned types, barebones unsigned types, or uint support.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
77,Frontend Development,writing-dev-server-tests,"Guides writing HMR/Dev Server tests in test/bake/. Use when creating or modifying dev server, hot reloading, or bundling tests.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
78,Frontend Development,command-development,"This skill should be used when the user asks to ""create a slash command"", ""add a command"", ""write a custom command"", ""define command arguments"", ""use command frontmatter"", ""organize commands"", ""create command with file references"", ""interactive command"", ""use AskUserQuestion in command"", or needs guidance on slash command structure, YAML frontmatter fields, dynamic arguments, bash execution in commands, user interaction patterns, or command development best practices for Claude Code.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
79,Frontend Development,implementing-agent-modes,"Guidelines to create/update a new mode for PostHog AI agent. Modes are a way to limit what tools, prompts, and prompt injections are applied and under what conditions. Achieve better results using your plan mode.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
80,Frontend Development,wcag-audit-patterns,"Conduct WCAG 2.2 accessibility audits with automated testing, manual verification, and remediation guidance. Use when auditing websites for accessibility, fixing WCAG violations, or implementing accessible design patterns.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
81,Frontend Development,risk-metrics-calculation,"Calculate portfolio risk metrics including VaR, CVaR, Sharpe, Sortino, and drawdown analysis. Use when measuring portfolio risk, implementing risk limits, or building risk monitoring systems.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
82,Frontend Development,nft-standards,"Implement NFT standards (ERC-721, ERC-1155) with proper metadata handling, minting strategies, and marketplace integration. Use when creating NFT contracts, building NFT marketplaces, or implementing digital asset systems.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
83,Frontend Development,nextjs-app-router-patterns,"Master Next.js 14+ App Router with Server Components, streaming, parallel routes, and advanced data fetching. Use when building Next.js applications, implementing SSR/SSG, or optimizing React Server Components.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
84,Frontend Development,ml-pipeline-workflow,"Build end-to-end MLOps pipelines from data preparation through model training, validation, and production deployment. Use when creating ML pipelines, implementing MLOps practices, or automating model training and deployment workflows.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
85,Frontend Development,istio-traffic-management,"Configure Istio traffic management including routing, load balancing, circuit breakers, and canary deployments. Use when implementing service mesh traffic policies, progressive delivery, or resilience patterns.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
86,Backend Development,bun-file-io,"Use this when you are working on file operations like reading, writing, scanning, or deleting files. It summarizes the preferred file APIs and patterns used in this repo. It also notes when to use filesystem helpers for directories.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
87,Backend Development,add-admin-api-endpoint,Add a new endpoint or endpoints to Ghost's Admin API at `ghost/api/admin/**`.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
88,Backend Development,generate-migration,"Generate Django database migrations for Sentry. Use when creating migrations, adding/removing columns or tables, adding indexes, or resolving migration conflicts.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
89,Backend Development,temporal-python-testing,"Test Temporal workflows with pytest, time-skipping, and mocking strategies. Covers unit testing, integration testing, replay testing, and local development setup. Use when implementing Temporal workflow tests or debugging test failures.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
90,Backend Development,zarr-python,"Chunked N-D arrays for cloud storage. Compressed arrays, parallel I/O, S3/GCS integration, NumPy/Dask/Xarray compatible, for large-scale scientific computing pipelines.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
91,Backend Development,sympy,"Use this skill when working with symbolic mathematics in Python. This skill should be used for symbolic computation tasks including solving equations algebraically, performing calculus operations (derivatives, integrals, limits), manipulating algebraic expressions, working with matrices symbolically, physics calculations, number theory problems, geometry computations, and generating executable code from mathematical expressions.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
